date;NMEA_rover;NMEA_corrected;NMEA_base;tether_length;compass;depth;accuracy
2023-01-24 23:14:35.279;$GNGGA,221435.000,5102.14580,N,01344.15569,E,1,18,0.62,137.1,M,44.5,M,,*7F;$GNGGA,221435.000,05102.1458,N,01344.1557,E,2,18,0.62,137.1,M,44.5,M,,*44;0;0.003563977386250675;81.0;0.0;3.1500000171804707
2023-01-24 23:14:36.149;$GNGGA,221436.000,5102.14578,N,01344.15569,E,1,19,0.61,137.1,M,44.5,M,,*79;$GNGGA,221436.000,05102.1458,N,01344.1557,E,2,19,0.61,137.1,M,44.5,M,,*45;0;0.003563977386250675;81.0;0.0;3.150000016935912
2023-01-24 23:14:38.263;$GNGGA,221438.000,5102.14577,N,01344.15570,E,1,18,0.62,137.1,M,44.5,M,,*72;$GNGGA,221438.000,05102.1458,N,01344.1557,E,2,18,0.62,137.1,M,44.5,M,,*49;0;0.003589617511331615;81.0;0.0;3.1500000171804707
2023-01-24 23:14:39.150;$GNGGA,221439.000,5102.14576,N,01344.15570,E,1,17,0.66,137.1,M,44.5,M,,*79;$GNGGA,221439.000,05102.1458,N,01344.1557,E,2,17,0.66,137.1,M,44.5,M,,*43;0;0.003589617511331615;81.0;0.0;3.1500000171804707
2023-01-24 23:14:41.155;$GNGGA,221441.000,5102.14575,N,01344.15571,E,1,19,0.64,137.1,M,44.5,M,,*78;$GNGGA,221441.000,05102.1458,N,01344.1557,E,2,19,0.64,137.1,M,44.5,M,,*40;0;0.003589617511331615;82.0;0.0;3.150000016935912
2023-01-24 23:14:42.203;$GNGGA,221442.000,5102.14576,N,01344.15570,E,1,20,0.63,137.1,M,44.5,M,,*74;$GNGGA,221442.000,05102.1458,N,01344.1557,E,2,20,0.63,137.1,M,44.5,M,,*4E;0;0.003563977386250675;81.0;0.0;3.150000016935912
2023-01-24 23:14:43.220;$GNGGA,221443.000,5102.14577,N,01344.15572,E,1,21,0.59,137.0,M,44.5,M,,*7F;$GNGGA,221443.000,05102.1458,N,01344.1557,E,2,21,0.59,137.0,M,44.5,M,,*46;0;0.003589617511331615;81.0;0.0;3.1500000171804707
2023-01-24 23:14:44.264;$GNGGA,221444.000,5102.14579,N,01344.15573,E,1,20,0.63,137.0,M,44.5,M,,*7F;$GNGGA,221444.000,05102.1458,N,01344.1557,E,2,20,0.63,137.0,M,44.5,M,,*49;0;0.003589617511331615;81.0;0.0;3.1500000171804707
2023-01-24 23:14:47.231;$GNGGA,221447.000,5102.14581,N,01344.15576,E,1,19,0.67,136.9,M,44.5,M,,*78;$GNGGA,221447.000,05102.1458,N,01344.1558,E,2,19,0.67,136.9,M,44.5,M,,*43;0;0.003563977386250675;82.0;0.0;3.1500000171804707
