date;NMEA_rover;NMEA_corrected;NMEA_base;tether_length;compass;depth;accuracy
2023-02-18 09:01:35.661;$GNGGA,080135.511,,,,,0,00,,,M,,M,,*6C;$GNGGA,080135.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*54;0;-0.007999719025253314;62.0;0.0;3.150000084781222
2023-02-18 09:01:36.631;$GNGGA,080136.511,,,,,0,00,,,M,,M,,*6F;$GNGGA,080136.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*57;0;-0.007974078900172373;62.0;0.0;3.1552417469626004
2023-02-18 09:01:37.585;$GNGGA,080137.511,,,,,0,00,,,M,,M,,*6E;$GNGGA,080137.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*56;0;-0.007974078900172373;62.0;0.0;3.150000084781222
2023-02-18 09:01:38.695;$GNGGA,080138.511,,,,,0,00,,,M,,M,,*61;$GNGGA,080138.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*59;0;-0.007999719025253314;62.0;0.0;3.1552417469626004
2023-02-18 09:01:39.610;$GNGGA,080139.511,,,,,0,00,,,M,,M,,*60;$GNGGA,080139.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*58;0;-0.007974078900172373;62.0;0.0;3.1552417469626004
2023-02-18 09:01:40.588;$GNGGA,080140.511,,,,,0,00,,,M,,M,,*6E;$GNGGA,080140.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*56;0;-0.007974078900172373;62.0;0.0;3.1552417469626004
2023-02-18 09:01:41.691;$GNGGA,080141.511,,,,,0,00,,,M,,M,,*6F;$GNGGA,080141.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*57;0;-0.007974078900172373;62.0;0.0;3.1552417469626004
2023-02-18 09:01:43.616;$GNGGA,080143.511,,,,,0,00,,,M,,M,,*6D;$GNGGA,080143.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*55;0;-0.007974078900172373;62.0;0.0;3.1552417469626004
2023-02-18 09:01:44.626;$GNGGA,080144.511,,,,,0,00,,,M,,M,,*6A;$GNGGA,080144.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*52;0;-0.007999719025253314;62.0;0.0;3.1552417469626004
2023-02-18 09:01:46.602;$GNGGA,080146.511,,,,,0,00,,,M,,M,,*68;$GNGGA,080146.000,00000.0008,,00000.0007,,2,00,,0,M,,M,,*50;0;-0.007974078900172373;62.0;0.0;3.150000084781222
