date;NMEA_rover;NMEA_corrected;NMEA_base;tether_length;compass;depth;accuracy
2023-02-16 16:28:53.215;$GNGGA,152853.000,5104.31371,N,01335.90047,E,1,26,0.61,249.0,M,44.6,M,,*79;$GNGGA,152853.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*54;0;107.00808770055046;187.0;0.0;5.145411414710741
2023-02-16 16:28:54.287;$GNGGA,152854.000,5104.31371,N,01335.90047,E,1,26,0.61,249.0,M,44.6,M,,*7E;$GNGGA,152854.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*53;0;107.00806206042539;187.0;0.0;5.145411414710741
2023-02-16 16:28:55.240;$GNGGA,152855.000,5104.31371,N,01335.90048,E,1,26,0.61,249.0,M,44.6,M,,*70;$GNGGA,152855.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*52;0;107.00808770055046;187.0;0.0;5.145411414710741
2023-02-16 16:28:57.320;$GNGGA,152857.000,5104.31371,N,01335.90048,E,1,26,0.61,249.0,M,44.6,M,,*72;$GNGGA,152857.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*50;0;107.00806206042539;187.0;0.0;5.145411414710741
2023-02-16 16:28:58.231;$GNGGA,152858.000,5104.31371,N,01335.90049,E,1,26,0.61,249.0,M,44.6,M,,*7C;$GNGGA,152858.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*5F;0;107.00808770055046;187.0;0.0;5.145411414710741
2023-02-16 16:29:00.352;$GNGGA,152900.000,5104.31371,N,01335.90049,E,1,26,0.61,249.0,M,44.6,M,,*70;$GNGGA,152900.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*53;0;107.00811334067555;187.0;0.0;5.14541192625833
2023-02-16 16:29:03.369;$GNGGA,152903.000,5104.31371,N,01335.90049,E,1,26,0.61,248.9,M,44.6,M,,*7B;$GNGGA,152903.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*50;0;107.00808770055046;187.0;0.0;5.14541192625833
2023-02-16 16:29:05.245;$GNGGA,152905.000,5104.31371,N,01335.90049,E,1,26,0.61,248.9,M,44.6,M,,*7D;$GNGGA,152905.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*56;0;107.00808770055046;187.0;0.0;5.14541192625833
2023-02-16 16:29:06.337;$GNGGA,152906.000,5104.31372,N,01335.90049,E,1,26,0.61,248.9,M,44.6,M,,*7D;$GNGGA,152906.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*55;0;107.00808770055046;187.0;0.0;5.145412437805922
2023-02-16 16:29:08.269;$GNGGA,152908.000,5104.31372,N,01335.90048,E,1,26,0.61,248.9,M,44.6,M,,*72;$GNGGA,152908.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*5B;0;107.00808770055046;187.0;0.0;5.14541192625833
2023-02-16 16:29:09.319;$GNGGA,152909.000,5104.31372,N,01335.90048,E,1,26,0.61,248.9,M,44.6,M,,*73;$GNGGA,152909.000,05104.2562,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*5A;0;107.00808770055046;187.0;0.0;5.14541192625833
2023-02-16 16:29:11.261;$GNGGA,152911.000,5104.31373,N,01335.90048,E,1,26,0.61,248.9,M,44.6,M,,*7B;$GNGGA,152911.000,05104.2563,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*52;0;107.00808770055046;187.0;0.0;5.14541192625833
2023-02-16 16:29:12.185;$GNGGA,152912.000,5104.31373,N,01335.90047,E,1,26,0.61,248.9,M,44.6,M,,*77;$GNGGA,152912.000,05104.2563,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*51;0;107.00808770055046;187.0;0.0;5.14541192625833
2023-02-16 16:29:15.257;$GNGGA,152915.000,5104.31373,N,01335.90046,E,1,26,0.61,248.9,M,44.6,M,,*71;$GNGGA,152915.000,05104.2563,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*56;0;107.00811334067555;187.0;0.0;5.14541192625833
2023-02-16 16:29:18.276;$GNGGA,152918.000,5104.31374,N,01335.90044,E,1,26,0.61,248.9,M,44.6,M,,*79;$GNGGA,152918.000,05104.2563,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*5B;0;107.00811334067555;187.0;0.0;5.14541192625833
2023-02-16 16:29:20.333;$GNGGA,152920.000,5104.31374,N,01335.90043,E,1,26,0.61,248.9,M,44.6,M,,*75;$GNGGA,152920.000,05104.2563,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*50;0;107.00811334067555;187.0;0.0;5.145412949353512
2023-02-16 16:29:21.242;$GNGGA,152921.000,5104.31374,N,01335.90043,E,1,26,0.61,248.9,M,44.6,M,,*74;$GNGGA,152921.000,05104.2563,N,01335.9091,E,2,26,0.61,0,M,44.6,M,,*51;0;107.00811334067555;187.0;0.0;5.145412949353512
2023-02-16 16:29:22.233;$GNGGA,152922.000,5104.31375,N,01335.90042,E,1,26,0.61,248.9,M,44.6,M,,*77;$GNGGA,152922.000,05104.2563,N,01335.9090,E,2,26,0.61,0,M,44.6,M,,*53;0;107.00813898080062;187.0;0.0;5.145412949353512
2023-02-16 16:29:23.321;$GNGGA,152923.000,5104.31375,N,01335.90042,E,1,26,0.61,248.9,M,44.6,M,,*76;$GNGGA,152923.000,05104.2563,N,01335.9090,E,2,26,0.61,0,M,44.6,M,,*52;0;107.00813898080062;187.0;0.0;5.145412949353512
2023-02-16 16:29:24.181;$GNGGA,152924.000,5104.31375,N,01335.90041,E,1,26,0.61,248.9,M,44.6,M,,*72;$GNGGA,152924.000,05104.2563,N,01335.9090,E,2,26,0.61,0,M,44.6,M,,*55;0;107.00813898080062;187.0;0.0;5.145412437805922
