date;NMEA_rover;NMEA_corrected;NMEA_base;tether_length;compass;depth;accuracy
2023-02-18 20:26:09.609;$GNGGA,192609.516,,,,,0,00,,,M,,M,,*61;$GNGGA,192609.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*53;0;-0.007922798650010493;60.0;0.0;3.1500000836942945
2023-02-18 20:26:10.698;$GNGGA,192610.516,,,,,0,00,,,M,,M,,*69;$GNGGA,192610.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5B;0;2;60.0;0.0;3.1552417469626004
2023-02-18 20:26:11.617;$GNGGA,192611.516,,,,,0,00,,,M,,M,,*68;$GNGGA,192611.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5A;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:12.646;$GNGGA,192612.516,,,,,0,00,,,M,,M,,*6B;$GNGGA,192612.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*59;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:13.638;$GNGGA,192613.516,,,,,0,00,,,M,,M,,*6A;$GNGGA,192613.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*58;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:14.596;$GNGGA,192614.516,,,,,0,00,,,M,,M,,*6D;$GNGGA,192614.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5F;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:15.596;$GNGGA,192615.516,,,,,0,00,,,M,,M,,*6C;$GNGGA,192615.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5E;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:16.593;$GNGGA,192616.516,,,,,0,00,,,M,,M,,*6F;$GNGGA,192616.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5D;0;-0.007922798650010493;60.0;0.0;3.1500000831534605
2023-02-18 20:26:17.592;$GNGGA,192617.516,,,,,0,00,,,M,,M,,*6E;$GNGGA,192617.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5C;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:18.618;$GNGGA,192618.516,,,,,0,00,,,M,,M,,*61;$GNGGA,192618.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*53;0;-0.007922798650010493;60.0;0.0;3.1500000836942945
2023-02-18 20:26:19.596;$GNGGA,192619.516,,,,,0,00,,,M,,M,,*60;$GNGGA,192619.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*52;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:20.610;$GNGGA,192620.516,,,,,0,00,,,M,,M,,*6A;$GNGGA,192620.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*58;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:21.595;$GNGGA,192621.516,,,,,0,00,,,M,,M,,*6B;$GNGGA,192621.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*59;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:22.611;$GNGGA,192622.516,,,,,0,00,,,M,,M,,*68;$GNGGA,192622.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5A;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:23.612;$GNGGA,192623.516,,,,,0,00,,,M,,M,,*69;$GNGGA,192623.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5B;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:24.640;$GNGGA,192624.516,,,,,0,00,,,M,,M,,*6E;$GNGGA,192624.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5C;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:25.615;$GNGGA,192625.516,,,,,0,00,,,M,,M,,*6F;$GNGGA,192625.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5D;0;-0.007922798650010493;60.0;0.0;3.1500000836942945
2023-02-18 20:26:26.614;$GNGGA,192626.516,,,,,0,00,,,M,,M,,*6C;$GNGGA,192626.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5E;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:27.592;$GNGGA,192627.516,,,,,0,00,,,M,,M,,*6D;$GNGGA,192627.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5F;0;-0.007897158524929553;60.0;0.0;3.1500000836942945
2023-02-18 20:26:28.620;$GNGGA,192628.516,,,,,0,00,,,M,,M,,*62;$GNGGA,192628.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*50;0;-0.007897158524929553;60.0;0.0;3.1552417469626004
2023-02-18 20:26:29.596;$GNGGA,192629.516,,,,,0,00,,,M,,M,,*63;$GNGGA,192629.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*51;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:30.597;$GNGGA,192630.516,,,,,0,00,,,M,,M,,*6B;$GNGGA,192630.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*59;0;-0.007897158524929553;60.0;0.0;3.1552417469626004
2023-02-18 20:26:31.596;$GNGGA,192631.516,,,,,0,00,,,M,,M,,*6A;$GNGGA,192631.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*58;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:32.615;$GNGGA,192632.516,,,,,0,00,,,M,,M,,*69;$GNGGA,192632.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5B;0;-0.007897158524929553;60.0;0.0;3.1552417469626004
2023-02-18 20:26:33.596;$GNGGA,192633.516,,,,,0,00,,,M,,M,,*68;$GNGGA,192633.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5A;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:34.592;$GNGGA,192634.516,,,,,0,00,,,M,,M,,*6F;$GNGGA,192634.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5D;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:35.592;$GNGGA,192635.516,,,,,0,00,,,M,,M,,*6E;$GNGGA,192635.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5C;0;-0.007897158524929553;60.0;0.0;3.1500000836942945
2023-02-18 20:26:36.686;$GNGGA,192636.516,,,,,0,00,,,M,,M,,*6D;$GNGGA,192636.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5F;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
2023-02-18 20:26:37.631;$GNGGA,192637.516,,,,,0,00,,,M,,M,,*6C;$GNGGA,192637.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*5E;0;-0.007897158524929553;60.0;0.0;3.1552417469626004
2023-02-18 20:26:38.653;$GNGGA,192638.516,,,,,0,00,,,M,,M,,*63;$GNGGA,192638.000,00000.0003,,00000.0010,,2,00,,0,M,,M,,*51;0;-0.007922798650010493;60.0;0.0;3.1552417469626004
